1 504 0 0 0 1 0 0 0 1 0 0 0 1 6100p02.dat
1 0  90 -24 290  1 0 0  0 1 0  0 0 1 3005.dat
1 0  60 -24 310  1 0 0  0 1 0  0 0 1 3010.dat
1 0  260 -8 310  1 0 0  0 1 0  0 0 1 3666.dat
1 0  260 -8 170  1 0 0  0 1 0  0 0 1 3666.dat
1 0  140 -8 170  1 0 0  0 1 0  0 0 1 3666.dat

1 4  280 -8 190  1 0 0  0 1 0  0 0 1 3023.dat
1 4  280 -8 250  1 0 0  0 1 0  0 0 1 3023.dat
1 4  280 -16 190  1 0 0  0 1 0  0 0 1 3023.dat
1 4  280 -16 250  1 0 0  0 1 0  0 0 1 3023.dat

1 0  90 -8 190   1 0 0  0 1 0  0 0 1 3024.dat
1 0  210 -16 310   1 0 0  0 1 0  0 0 1 3024.dat
1 0  210 -24 310   1 0 0  0 1 0  0 0 1 3024.dat
1 0  310 -16 310   1 0 0  0 1 0  0 0 1 3024.dat
1 0  310 -24 310   1 0 0  0 1 0  0 0 1 3024.dat
1 0  310 -16 170   1 0 0  0 1 0  0 0 1 3024.dat
1 0  240 -16 170  1 0 0  0 1 0  0 0 1 3666.dat

1 0  90 -16 180  0 0 1  0 1 0  -1 0 0 3023.dat
